model,rank,iteration,forward_time_ms,other_cpu_avg_usage,other_cpu_max_usage,contaminated
borzoi,1,1,43953.1431,0.00,0.00,False
borzoi,1,2,43992.9811,0.00,0.00,False
borzoi,1,3,44261.6115,0.01,50.00,False
borzoi,1,4,44096.4660,0.04,50.00,False
borzoi,1,5,43826.7662,0.01,50.00,False
borzoi,1,6,45030.0406,0.00,0.00,False
borzoi,1,7,43424.9937,0.01,43.96,False
borzoi,1,8,43650.6642,0.00,0.00,False
borzoi,1,9,43339.8662,0.01,44.06,False
borzoi,1,10,43125.6110,0.00,0.00,False
borzoi,1,11,43246.1587,0.01,43.98,False
borzoi,1,12,42836.2970,0.00,0.00,False
borzoi,1,13,42983.5030,0.02,50.00,False
borzoi,1,14,42970.8600,0.00,0.00,False
borzoi,1,15,43638.7121,0.00,0.00,False
borzoi,1,16,42908.8460,0.01,43.97,False
borzoi,1,17,43546.2206,0.00,0.00,False
borzoi,1,18,43064.6277,0.00,0.00,False
borzoi,1,19,43370.2520,0.01,43.96,False
borzoi,1,20,43409.6028,0.00,0.00,False
borzoi,2,1,43415.0066,0.00,0.00,False
borzoi,2,2,43568.6406,0.02,43.97,False
borzoi,2,3,43603.9224,0.00,0.00,False
borzoi,2,4,43465.3385,0.00,0.00,False
borzoi,2,5,43036.3308,0.00,0.00,False
borzoi,2,6,43004.5539,0.01,43.97,False
borzoi,2,7,43040.6190,0.00,0.00,False
borzoi,2,8,42944.7021,0.00,0.00,False
borzoi,2,9,43324.4058,0.01,38.26,False
borzoi,2,10,42970.7217,0.00,0.00,False
borzoi,2,11,43035.9469,0.01,44.01,False
borzoi,2,12,42909.0124,0.00,0.00,False
borzoi,2,13,42967.1264,0.01,50.00,False
borzoi,2,14,42899.8038,0.01,44.02,False
borzoi,2,15,42981.2204,0.00,0.00,False
borzoi,2,16,43026.5322,0.01,44.06,False
borzoi,2,17,43364.8781,0.00,0.00,False
borzoi,2,18,42939.4307,0.01,43.98,False
borzoi,2,19,42956.8170,0.03,94.01,False
borzoi,2,20,42907.1725,0.01,43.96,False
borzoi,4,1,43188.7892,0.02,43.98,False
borzoi,4,2,43625.8356,0.00,0.00,False
borzoi,4,3,42970.0500,0.01,50.00,False
borzoi,4,4,43279.7774,0.02,43.99,False
borzoi,4,5,43002.8962,0.00,0.00,False
borzoi,4,6,43065.2552,0.00,0.00,False
borzoi,4,7,42974.7911,0.01,43.96,False
borzoi,4,8,43074.5762,0.00,0.00,False
borzoi,4,9,43044.8726,0.00,0.00,False
borzoi,4,10,43590.0499,0.00,0.00,False
borzoi,4,11,43564.5710,0.01,44.04,False
borzoi,4,12,43651.1390,0.00,0.00,False
borzoi,4,13,43294.5024,0.01,38.06,False
borzoi,4,14,43062.3211,0.00,0.00,False
borzoi,4,15,43014.6650,0.02,94.01,False
borzoi,4,16,43036.7585,0.01,44.08,False
borzoi,4,17,43432.2315,0.00,0.00,False
borzoi,4,18,43468.6314,0.01,44.04,False
borzoi,4,19,43580.4352,0.00,0.00,False
borzoi,4,20,43715.0247,0.00,0.00,False
borzoi,8,1,43407.5108,0.00,0.00,False
borzoi,8,2,43526.0002,0.00,0.00,False
borzoi,8,3,43466.3363,0.00,0.00,False
borzoi,8,4,43521.2269,0.01,44.02,False
borzoi,8,5,43413.3063,0.00,0.00,False
borzoi,8,6,43314.7724,0.00,0.00,False
borzoi,8,7,42955.7705,0.00,0.00,False
borzoi,8,8,43182.0063,0.01,43.96,False
borzoi,8,9,43535.8765,0.02,44.00,False
borzoi,8,10,42972.2917,0.01,43.98,False
borzoi,8,11,43800.9550,0.30,94.04,False
borzoi,8,12,43148.2971,0.00,0.00,False
borzoi,8,13,42891.2745,0.00,0.00,False
borzoi,8,14,43106.5382,0.01,44.02,False
borzoi,8,15,43544.5842,0.03,44.01,False
borzoi,8,16,43422.9758,0.02,44.02,False
borzoi,8,17,43426.7880,0.03,43.98,False
borzoi,8,18,45646.5001,1.87,100.00,False
borzoi,8,19,44642.1007,0.08,50.00,False
borzoi,8,20,44539.8223,0.05,50.00,False
borzoi,16,1,44683.3845,0.01,50.00,False
borzoi,16,2,44734.3742,0.01,50.00,False
borzoi,16,3,45724.6113,0.02,50.00,False
borzoi,16,4,43890.5579,0.02,43.98,False
borzoi,16,5,43642.0070,0.01,44.01,False
borzoi,16,6,43811.1070,0.02,44.07,False
borzoi,16,7,43941.8441,0.01,44.06,False
borzoi,16,8,43997.7362,0.01,43.97,False
borzoi,16,9,44014.6352,0.01,38.13,False
borzoi,16,10,43969.5048,0.02,44.04,False
borzoi,16,11,43980.4136,0.01,44.01,False
borzoi,16,12,43807.2179,0.01,44.01,False
borzoi,16,13,44006.8905,0.02,44.02,False
borzoi,16,14,44023.2365,0.02,44.12,False
borzoi,16,15,44007.5340,0.00,0.00,False
borzoi,16,16,44037.4040,0.01,44.08,False
borzoi,16,17,44040.9946,0.01,50.00,False
borzoi,16,18,43772.9323,0.01,44.01,False
borzoi,16,19,43621.4211,0.02,50.00,False
borzoi,16,20,44063.5656,0.00,0.00,False
borzoi,32,1,43704.5425,0.06,50.00,False
borzoi,32,2,43536.7379,0.01,44.01,False
borzoi,32,3,43338.6474,0.02,44.01,False
borzoi,32,4,43527.6579,0.01,44.08,False
borzoi,32,5,43317.2499,0.01,44.02,False
borzoi,32,6,43752.2935,0.03,44.02,False
borzoi,32,7,43324.3771,0.01,27.32,False
borzoi,32,8,43375.8974,0.00,0.00,False
borzoi,32,9,43318.7815,0.01,50.00,False
borzoi,32,10,43399.6442,0.02,44.13,False
borzoi,32,11,43311.8651,0.01,44.03,False
borzoi,32,12,43405.6469,0.02,50.00,False
borzoi,32,13,43329.2895,0.00,0.00,False
borzoi,32,14,43397.4637,0.01,43.96,False
borzoi,32,15,43322.4751,0.02,43.96,False
borzoi,32,16,43388.8235,0.02,44.02,False
borzoi,32,17,43309.8773,0.00,0.00,False
borzoi,32,18,43406.6555,0.02,44.01,False
borzoi,32,19,43375.3906,0.01,44.02,False
borzoi,32,20,43512.8344,0.02,44.04,False
borzoi,64,1,43623.6357,0.01,44.02,False
borzoi,64,2,43763.0490,0.01,44.01,False
borzoi,64,3,43719.7358,0.02,43.97,False
borzoi,64,4,43776.3109,0.01,44.01,False
borzoi,64,5,43716.0601,0.02,44.03,False
borzoi,64,6,43774.8651,0.01,43.98,False
borzoi,64,7,43709.5639,0.01,27.35,False
borzoi,64,8,44063.4378,0.02,44.05,False
borzoi,64,9,44052.5846,0.02,44.02,False
borzoi,64,10,44049.5285,0.00,0.00,False
borzoi,64,11,43851.9689,0.02,44.06,False
borzoi,64,12,43758.1810,0.00,0.00,False
borzoi,64,13,43964.0405,0.02,44.02,False
borzoi,64,14,43769.3410,0.01,43.96,False
borzoi,64,15,43719.8436,0.00,0.00,False
borzoi,64,16,44010.3819,0.02,44.01,False
borzoi,64,17,43954.2099,0.00,0.00,False
borzoi,64,18,43793.2101,0.02,43.97,False
borzoi,64,19,43744.1907,0.02,44.10,False
borzoi,64,20,44123.5189,0.00,0.00,False
borzoi,128,1,43828.6820,0.00,0.00,False
borzoi,128,2,43852.8943,0.00,0.00,False
borzoi,128,3,43847.8675,0.00,0.00,False
borzoi,128,4,43860.3588,0.00,0.00,False
borzoi,128,5,43809.7498,0.01,43.97,False
borzoi,128,6,43881.0385,0.00,0.00,False
borzoi,256,1,44450.4315,0.00,0.00,False
borzoi,256,2,44477.7783,0.00,0.00,False
borzoi,256,3,44456.7687,0.00,0.00,False
borzoi,256,4,44496.6849,0.00,0.00,False
borzoi,256,5,44452.6855,0.01,44.02,False
borzoi,256,6,44489.3850,0.00,0.00,False
borzoi,256,7,44442.6403,0.00,0.00,False
borzoi,256,8,44470.0528,0.00,0.00,False
borzoi,256,9,44419.4962,0.00,0.00,False
borzoi,256,10,44490.1402,0.00,0.00,False
borzoi,256,11,44530.6252,0.00,0.00,False
borzoi,256,12,45074.1924,0.00,0.00,False
borzoi,256,13,44502.8058,0.01,43.99,False
borzoi,256,14,44487.5832,0.01,43.96,False
borzoi,256,15,44429.8287,0.00,0.00,False
borzoi,256,16,44467.0054,0.00,0.00,False
borzoi,256,17,44424.8693,0.00,0.00,False
borzoi,256,18,44475.0123,0.00,0.00,False
borzoi,256,19,44432.9771,0.01,44.02,False
borzoi,256,20,44493.0819,0.00,0.00,False
borzoi,512,1,45837.9977,0.00,0.00,False
borzoi,512,2,45917.1947,0.00,0.00,False
borzoi,512,3,45961.2286,0.01,43.98,False
borzoi,512,4,46224.0520,0.01,38.13,False
borzoi,512,5,45845.6140,0.00,0.00,False
borzoi,512,6,45921.6393,0.00,0.00,False
borzoi,512,7,45960.1272,0.00,0.00,False
borzoi,512,8,45923.3965,0.00,0.00,False
borzoi,512,9,45849.9280,0.00,0.00,False
borzoi,512,10,45902.4662,0.01,44.01,False
borzoi,512,11,45844.8872,0.00,0.00,False
borzoi,512,12,45909.1518,0.01,43.97,False
borzoi,512,13,45839.7551,0.00,0.00,False
borzoi,512,14,45925.8581,0.00,0.00,False
borzoi,512,15,45811.9828,0.00,0.00,False
borzoi,512,16,45922.9671,0.00,0.00,False
borzoi,512,17,45841.6467,0.00,0.00,False
borzoi,512,18,45915.0876,0.01,43.96,False
borzoi,512,19,46162.3230,0.00,0.00,False
borzoi,512,20,46007.8160,0.00,0.00,False
borzoi,full,1,47446.8906,0.00,0.00,False
borzoi,full,2,47548.3837,0.00,0.00,False
borzoi,full,3,47458.5803,0.00,0.00,False
borzoi,full,4,47589.2729,0.00,0.00,False
borzoi,full,5,47457.7402,0.00,0.00,False
borzoi,full,6,47528.9183,0.00,0.00,False
borzoi,full,7,47467.0686,0.01,38.00,False
borzoi,full,8,47544.2398,0.00,0.00,False
borzoi,full,9,47457.5954,0.00,0.00,False
borzoi,full,10,47508.0870,0.00,0.00,False
borzoi,full,11,47451.9715,0.00,0.00,False
borzoi,full,12,47516.6175,0.00,0.00,False
borzoi,full,13,47454.4214,0.00,0.00,False
borzoi,full,14,47514.2985,0.00,0.00,False
borzoi,full,15,47452.5928,0.01,43.98,False
borzoi,full,16,47515.0537,0.00,0.00,False
borzoi,full,17,47439.1340,0.00,0.00,False
borzoi,full,18,47526.3802,0.01,50.00,False
borzoi,full,19,47441.9391,0.00,0.00,False
borzoi,full,20,47511.9711,0.00,0.00,False
